manufacturer,shortTitle,shortDescription,nettoprice,bruttoprice,images,category
HikVision,DS-2CE16C0T-IT5F/36,"1 Mpx venkovní kompaktní AHD/TVI/CVI/CVBS kamera, rozlišení 1280×720@30fps, objektiv f3.6mm, IR 80m, ICR, DNR, IP66",920,1113,https://www.stasanet.cz/out/pictures/master/1/F4479293-FF70-4D00-A422-2C570C40BDBD__DS-2CE16FxT-ITx.jpg,Kompaktní kamery | 1.3 Mpx kamery | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
JABLOTRON ALARMS a.s.,JA-153E,JA-153E je obousměrně komunikující bezdrátový přístupový modul s klávesnicí a RFID čtečkou pro ovládání zabezpečovacího systému.,2048,2478,https://www.stasanet.cz/out/pictures/master/1/E2D3CE43-92AB-41F9-98C8-B9D3296D1479__ja153e.jpg,Přístupové moduly | Bezdrátové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
,4FN 231 24.5,Modul záslepky KARAT INOX (se zámkem),700,847,https://www.stasanet.cz/out/pictures/master/1/776B21F1-426B-40E3-98AF-EF406324258E__4FN-231-24.5.jpg,Moduly | Dveřní stanice KARAT-INOX | Digitální systém videotelefonů | Tesla Stropkov | Domovní telefony
HikVision,DS-2CD4625FWD-IZHS,Ultra-low light IP kamera 50sn./s. 2MPix s ICR; WDR; PoE; f8-32mm,21689,26244,https://www.stasanet.cz/out/pictures/master/1/12625D35-81BC-42E9-89F6-9D9F0E5B979B__DS-2CD46.jpg,Kamery LightFighter | IP Hikvision | IP kamerové systémy | Kamerové systémy
ASSA ABLOY,EL002263,"EL002263, Traka21",40800,49368,https://www.stasanet.cz/out/pictures/master/1/F419B532-0164-4F70-A0D4-D97FC44EA9D1__Traka-21.jpg,Klíčové kabinety | Uzamykací systémy
System Alarm,SAD-08,Držák bezdrátové infrabariéry určený pro model SA-W001P8,576,697,https://www.stasanet.cz/out/pictures/master/1/4742DF0B-8AE5-4B9A-A209-AF1A7D1730C4__SAD-08.jpg,Infrabariéry solární eko | Venkovní detekce | EZS Paradox a ostatní
,4FN 877 20/K,"El. zámek stejnosměrný inverzní s nastav.západkou s aretací, lišta 100mm (DC12V/170mA)",900,1089,https://www.stasanet.cz/out/pictures/master/1/440AFCD3-4371-4E8D-878D-70B2414C5486__4FN-877-20-K.jpg,Elektrické zámky | Tesla Stropkov | Domovní telefony
,4FN 214 58.1/S1,Modul el. vrátného TT85   2 tl. (s konektorem),930,1125,https://www.stasanet.cz/out/pictures/master/1/18377496-688D-44A8-9677-1E2BBF24E231__4FN-214-58.1-S1.jpg,Moduly tlačítkových tabel TT 85 | Dveřní stanice TT85 | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
Paradox,SR130-868,"Venkovní bezdrátová piezo-siréna 100 dB/m s obousměrnou komunikací pro řady MG/SP (nelze pro DGP/EVO), napájení 3 x alkalické baterie velikosti C (v ceně dodávky), životnost cca 3 roky, optická signalizace 4 x výkonná LED, TAMPER - sejmutí ze zdi/sejmutí ",2445,2958,https://www.stasanet.cz/out/pictures/master/1/38474D5E-5422-4434-8347-2A0F93F20B70__SR130.jpg,Bezdrátové prvky MG | Systémy SPECTRA/ MAGELLAN | EZS Paradox a ostatní
NUUO,CT-4000R,"CT-4000R NUUO - Crystal Titan, NVR pro IP kamery, síťový NAS, možnost rožšíření na 64 kamer, české OSD menu, datová propustnost max. 250Mbps, 4x HDD SATA, RAID, 1x eSATA, 6x USB, 2x LAN, PC - Sotware / prohlížeč - Win / Mac, Tablet / SmartPhone - aplikace",36950,44710,https://www.stasanet.cz/out/pictures/master/1/D700B9C8-01E1-45AE-B666-909E6F4C4386__ct-4000R.jpg,Crystal
LAN-TEC,A2.6832.901,"Kvalitní stojanový datový rozvaděč, přední uzamykatelné skleněné dveře, dvě odnimatelné bočnice a zadní plné uzamykatelné dveře",9499,11494,https://www.stasanet.cz/out/pictures/master/1/7EC6C91B-D12D-427E-9391-8D3E76E38E51__AD.6837.901.jpg,Stojanové LAN-TEC | Datové rozvaděče | SKS Strukturovaná kabeláž
Commax,DR-14AM/DP-SS/RF-1A,"Sada dveřní stanice a domácích telefonů pro 14 uživatelů, systém 4+n, zápustná montáž dveřní stanice, povrchová montáž telefonů, napájení 12 V DC",5790,7006,https://www.stasanet.cz/out/pictures/master/1/EC88B119-D2D7-4EB8-89D3-5268C4AEB16C__DR-14AM_DP-SS_RF-1A.jpg,Domácí audio telefony 4+n | Videotelefony COMMAX - design | Domovní telefony
