manufacturer,shortTitle,shortDescription,nettoprice,bruttoprice,images,category
ACI Farfisa,MAS10P,Modul s reproduktorem a mikrofonem.,1350,1634,https://www.stasanet.cz/out/pictures/master/1/4E6F0F88-8D3F-47FB-82C8-B6CE8544DDAD__ad2120mas.jpg,Dveřní stanice Matrix | Analogový systém 4+n | Videotelefony Farfisa - modularita | Domovní telefony
S-Entry,R-MINI P,"Povrchová čtečka RFID karet nebo čipů EM 125KHz, výstupní formát Wiegand 26, čtecí dosah 3-5cm, napájení 9-16VDC, masivní kovový kryt, šedá barva",750,908,https://www.stasanet.cz/out/pictures/master/1/FE30392D-009E-4E91-8FD9-A4B1217374EE__R-MINI_P.jpg,Čtečky | ACS Přístupové systémy
HikVision,DS-2CD2051G1-IDW1/28,"5 Mpx IP kamera; WDR+ICR+IR; Wi-Fi; obj. 2,8mm",1932,2338,https://www.stasanet.cz/out/pictures/master/1/1FEA39A5-D8C0-4561-8EE8-4E1596397A72__DS-2CD20xxG1-IDW1.jpg,Wi-Fi kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
NUUO,1 Enterprise licence,"Rozšíření NVR Crystal Titan, UPGRADE o 1 Enterprise licenci, podporuje megapixelové kamery, většina výrobců IP kamer je podporována. Nelze kombinovat s Ultimate licencí, nutno provést upgrade.",2999,3629,https://www.stasanet.cz/out/pictures/master/1/1FD4AD87-C056-4458-8618-73434E16322A__licence.jpg,Crystal
HikVision,DS-2CE16D8T-IT3Z-G,"2MPix venkovní kamera TurboHD; ICR + EXIR + motor. ZOOM 2,8-12mm; šedá",2116,2560,https://www.stasanet.cz/out/pictures/master/1/4E394E30-F91B-490C-8BF5-6AEDFF627103__DS-2CE16F7T-AIT3Z-G.jpg,Motor-Zoom kamery | 2 Mpx kamery Low lux | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
HikVision,DS-2CD2783G0-IZS,"8 Mpx IP venkovní DOME kamera; H265+;WDR+ICR+EXIR+Alarm+Audio+motor. obj.2,8-12mm",9154,11076,https://www.stasanet.cz/out/pictures/master/1/826E0392-BA96-4661-B62F-847DE4E01277__DS-2CD27x5FWD-IZS.jpg,8 Mpx (4K) | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
JABLOTRON ALARMS a.s.,JA-154J MS,"Umožňuje dálkově ovládat zabezpečovací systém, různá elektrická zařízení či vyvolat tísňový poplach. Potvrzení provedení akce zpětnou optickou a akustickou odezvou. To vše i na více systémech JABLOTRON 100 (například doma a v kanceláři).",1049,1269,https://www.stasanet.cz/out/pictures/master/1/90EB601A-F3E6-4B36-A4BB-2515E652F37B__JA-154J-MS.jpg,Dálková ovládání | Bezdrátové prvky | JABLOTRON 100 | EZS Alarmy Jablotron
CCTV,AngelBox,"AngelBox, plug-and-play zařízení pro připojení kamer do cloudu. Bezpečný, šifrovaný přenos videa. Kompatibilní s většinou zařízení.",2222,2689,https://www.stasanet.cz/out/pictures/master/1/64080AAB-2ACD-4025-BA70-2CC2D0D7804B__angelbox.jpg,Videoslužby Jablotron | JABLOTRON 100 | EZS Alarmy Jablotron
2N TELEKOMUNIKACE,9135251E,Helios přídavný spínač,1894,2292,https://www.stasanet.cz/out/pictures/master/1/DCF8430E-4F77-407A-91A3-78C2BAD51B18__9135251E.jpg,Doplňky | Helios Analog | 2N Interkomy | Domovní telefony
MAZi Security Systems GmbH,HSVR-16HT,"16(+2)-kanálové hybridní DVR pro AHD/TVI/CVI/CVBS/IP kamery, záznam až 6 Mpx, 2×SATA (až 16TB), alarm I/O, audio I/O, RS-485, HDMI 4K",11592,14026,https://www.stasanet.cz/out/pictures/master/1/B07929C8-162D-4886-99B4-846FA2813C62__HSVR-xxHT.jpg,16 kanálové | Záznamová zařízení | HD TVI MAZi (Turbo HD+) | HD Analogové systémy | Kamerové systémy
"Fagor Electrónica, S.Coop.",HTT 101,"Autonomní zařízení sloužící k modulaci HDMI nebo A/V signálu do výstupního DVB-T kanálu v TV pásmu, digitalizace v reálném čase",20950,25350,https://www.stasanet.cz/out/pictures/master/1/8F962671-22D5-48EA-864F-C8EB225C06D2__HTT-101.jpg,TV modulátory | Příslušenství | Kamerové systémy
,MET-200,"Masivní kovový magnet pro velká vrata, drátové vývody, pracovní vzdálenost max 45 mm.",262,317,https://www.stasanet.cz/out/pictures/master/1/D3188E8C-F47E-4253-A5DA-F01BE7E73A9C__met200.jpg,Magnetické kontakty | Vnitřní detekce | EZS Paradox a ostatní
HikVision,DS-K1108E,Bezkontaktní čtečka EM (HIKVISION),897,1085,https://www.stasanet.cz/out/pictures/master/1/EE8099C3-01E8-4312-BF81-675EF55FA354__DS-K1108M.jpg,Čtečky | ACS Přístupové systémy
HikVision,DS-2DF6A836X-AEL,IP PTZ kamera 8MPix; 36x ZOOM; Hi-PoE; ICR+3D-DNR,67551,81737,https://www.stasanet.cz/out/pictures/master/1/80CD8FE9-F5A4-4A35-8FA2-0740BE8B2F69__DS-2DF6A.jpg,Kamery DarkFighter | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-1203ZJ,"Kovová konzole ke kameře, délka 200mm, rozměry základny 71 x 84mm, barva bílá, hmotnost 220g",207,250,https://www.stasanet.cz/out/pictures/master/1/9FF9ACAD-869C-4EF2-9BAD-F6814F81E10E__DS-1203ZJ.jpg,Nástěnné držáky | Příslušenství | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,iVMS5200 (64CH),"Storage server, 64 kanálů",16054,19425,https://www.stasanet.cz/out/pictures/master/1/C16C1893-7CBC-4584-A6E5-516B97995F6B__iVMS5200-.jpg,Software | Příslušenství | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
HikVision,DS-2DE4425IW-DE,"IP PTZ kamera 4MPix; 25x ZOOM; ICR+3D-DNR, WDR, IR do 100m",13478,16308,https://www.stasanet.cz/out/pictures/master/1/41EF7196-9130-4A4F-8FA5-9DCB78DED583__DS-2DE4xxxI.jpg,4 Mpx | PTZ kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
JOB-Detecomat,HFM EG,"Náhradní sklo pro tlačítka. Rozměr 80 x 80 mm, vhodné ke všem typům tlačítek.",17,21,https://www.stasanet.cz/out/pictures/master/1/BD03395F-4475-4E64-B29C-799305A4F8EB__hfm_eg_1.jpg,Doplňky k detektorům | Adresovatelné systémy | EPS Požární ochrana
JABLOTRON ALARMS a.s.,JA-106K-3G,"Plná verze ústředny zabezpečovacího systému JABLOTRON 100. Umožňuje flexibilní nastavování a je určena zajištění snadné ochrany především velkých obytných komplexů, administrativních budov a firem, které potřebují systém o mnoha sekcích.",9890,11967,https://www.stasanet.cz/out/pictures/master/1/F86B15D8-F7D8-4663-A361-93664AA5106A__JA-106K-3G.jpg,Ústředny a komunikátory | JABLOTRON 100 | EZS Alarmy Jablotron
ACI Farfisa,MAS12P,"Modul s reproduktorem, mikrofonem a dvěma tlačítky.",1680,2033,https://www.stasanet.cz/out/pictures/master/1/2AF7C0D7-C01A-4D7D-9DB2-E076618D59C7__MAS12P_2.jpg,Dveřní stanice Matrix | Analogový systém 4+n | Videotelefony Farfisa - modularita | Domovní telefony
HikVision,DS-1603ZJ,Konzole na stěnu pro PanoVu kamery,782,946,https://www.stasanet.cz/out/pictures/master/1/1373349F-9A3B-4968-959F-2F1EB010DAE1__DS-1603ZJ.jpg,Příslušenství pro PTZ | Příslušenství | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-2DE4A404IW-DE,IP PTZ kamera 4MPix; 4x ZOOM; Alarm; Darkfighter; ICR+3D-DNR+IR 50m; f2.8-12mm,15226,18423,https://www.stasanet.cz/out/pictures/master/1/E76436FC-F8E1-4D95-9759-5238060015E8__DS-2DE4A204IW-DE.jpg,4 Mpx | PTZ kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
JOB-Detecomat,FRS,"doplněk ke svorkovnici SDB pro vlhké prostory, včetně průchodek, svorkovnice není součástí dodávky",303,367,https://www.stasanet.cz/out/pictures/master/1/FC0C3D9B-6C65-49E7-B27A-886DA524FDA4__frs_1.jpg,Doplňky k detektorům | Adresovatelné systémy | EPS Požární ochrana
,4FF 127 12.5,Rám KARAT pro 2 moduly,310,375,https://www.stasanet.cz/out/pictures/master/1/4F13B7ED-2B3D-4192-BA03-6E913F2A9EE3__4FF-127-12.5.jpg,Rámy tlačítkových tabel KARAT | Dveřní stanice KARAT-INOX | Digitální systém videotelefonů | Tesla Stropkov | Domovní telefony
Dahua,PFB300S,"Kovový držák pro boční montáž (na stěnu) PTZ kamer Dahua, provedení husí krk, kov, bílý, venkovní -40 až 60°C, š 115 x v 160 x h 228 mm",467,565,https://www.stasanet.cz/out/pictures/master/1/E555E9D8-FA76-4C88-A587-5CA9D5D6C371__PFB300S.jpg,Příslušenství | IP technologie Dahua | IP kamerové systémy | Kamerové systémy
Commax,DRC-14AC2,"Barevná dveřní kamerová jednotka, 10 tlačítek, popisné štítky, noční přísvit, zápustná montáž,hliníková slitina, kabeláž 58+2 vodičů, napájení 12VDC",6290,7611,https://www.stasanet.cz/out/pictures/master/1/090A1077-ECE8-4E83-B3D6-7A898D1D0AD6__DRC-14AC2.jpg,Dveřní stanice | Videotelefony COMMAX - design | Domovní telefony
ACI Farfisa,PL92,Povrchová montážní krabička se stříškou pro dva moduly nad sebou. Vyrobeno z hliníku.,1650,1997,https://www.stasanet.cz/out/pictures/master/1/365B99CC-E769-42A8-85B1-61EDDF1EE7B9__pl92.jpg,Profilo | Příslušenství k dveř. stanicícm | Videotelefony Farfisa - modularita | Domovní telefony
2N TELEKOMUNIKACE,91378100,PoE injektor PSA16U-480(POE) - jednoportový 15.4W AC/DC bez napájecího kabelu,1300,1573,https://www.stasanet.cz/out/pictures/master/1/C7E73004-E7CF-4F08-BCCF-930CEEB84811__91378100.jpg,Doplňky | Helios IP FORCE | 2N Interkomy | Domovní telefony
VAR-TEC,FP REPAIRE,"Modul pro opravu přestřiženého kabelu. V případě, že dojde k sabotáži a detekční kabel je přerušen, používá se k jeho opravě tento modul.",1099,1330,https://www.stasanet.cz/out/pictures/master/1/3CBDCA74-F427-4C48-9076-5DBDDE53D6B2__FP-REPAIRE.jpg,Plotový systém | Venkovní detekce | EZS Paradox a ostatní
LAN-TEC,DC-412 C5E FTP,"Datový měděný kabel FTP Cat 5e-stíněný s nehořlavým pláštěm, značení délky, balení 305m - karton s plastovým vývodem",2749,3326,https://www.stasanet.cz/out/pictures/master/1/F9A6F091-7D6D-4CC1-8A19-F27088D2CE34__DC-412-C5E-FTP.jpg,Datové kabely | Metalická kabeláž | SKS Strukturovaná kabeláž
Estelar,RD3B,Čtečka karet EMmarin - připojení USB,1850,2239,https://www.stasanet.cz/out/pictures/master/1/04C03F1A-321B-4544-B4B6-5876585EE518__RD3-B.jpg,Doplňkové moduly | ACS Docházkové systémy
HikVision,DS-2CD2T45FWD-I5/28,"4 Mpx IP venkovní kamera; WDR+ICR+EXIR+obj.2,8mm",4669,5649,https://www.stasanet.cz/out/pictures/master/1/343634DD-8AD1-488A-AD06-35B2840CEA69__DS-2CD2T.jpg,Kamery DarkFighter | IP Hikvision | IP kamerové systémy | Kamerové systémy
ACI Farfisa,MAS63,"Litinový montážní rámeček, používá se v kombinaci s montážní krabičkou MA73",730,883,https://www.stasanet.cz/out/pictures/master/1/CFE46AC5-687D-4127-A181-B5679AAC7162__mas63.jpg,Matrix | Příslušenství k dveř. stanicícm | Videotelefony Farfisa - modularita | Domovní telefony
2N TELEKOMUNIKACE,9155035,"Rozšiřující modul pro interkomy 2N Helios IP Verso s 5 mechanickými tlačítky pro rychlou volbu uživatelů, podsvětlení tlačítek, možnost umístění jmenovek",2377,2876,https://www.stasanet.cz/out/pictures/master/1/9621289A-8460-461D-A17E-D356840E5438__2n-helios-ip-verso-modul-5-tlacitek.jpg,Rozšiřující moduly | Helios IP Verso | 2N Interkomy | Domovní telefony
,BES-2702,Programátor/převodník USB-RS485 BES RFID,3350,4054,https://www.stasanet.cz/out/pictures/master/1/BBB72D3C-C9FA-4BA7-95A0-9FAB0AB7F39D__BES-2702.jpg,Přístupové systémy DEK (DALLAS klíče) a (RFID) | Digitální  audiosystém (2-BUS) | Tesla Stropkov | Domovní telefony
Paradox,BR880-Bracket,"Plastový kloubový stojan pro detektory HD88, montáž na zeď i strop, bílá barva, skryté vedení kabelu uvnitřř držáku",418,506,https://www.stasanet.cz/out/pictures/master/1/F66AC1CE-9592-42AB-ACEA-65608276FDEB__BR880-Bracket.jpg,Doplňky | Vnitřní detekce | EZS Paradox a ostatní
HikVision,DS-2CD2H85FWD-IZS,"8MPix IP venkovní DOME kamera; ICR + EXIR 30m; motorzoom 2,8-12mm; Audio, Alarm",9706,11744,https://www.stasanet.cz/out/pictures/master/1/0000FDAC-E1B8-4227-A4E5-BC407FD7C9BE__DS-2CD2Hx5FWD-IZS.jpg,8 Mpx (4K) | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
,4FA 249 57.1,Krabice KARAT pro 3 rám,72,87,https://www.stasanet.cz/out/pictures/master/1/DCAA3244-6D38-4056-841A-3C50A82988D3__4FA-249-57.1.jpg,Krabice pod omítku KARAT | Dveřní stanice KARAT-ANTIKA  barva měděná | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
UOVision,Fotopast UM 595 2G,"Možnost nastavování funkcí prostřednictvím Bluetooth . Rychlá odezva spouště, vynikající osvětlení. Podpora WiFi SD karty pro stahování záznamů do mobilu. Mimořádně vhodná pro myslivost i ochranu majetku.",6779,8203,https://www.stasanet.cz/out/pictures/master/1/AF6174D2-6A1F-440B-9D55-398561353D86__UV595_1.jpg,Fotopasti s GSM | Fotopasti
ASSA ABLOY,11211,BEFO 11211 12V/230mA DC,1020,1234,https://www.stasanet.cz/out/pictures/master/1/D90B6DB9-5D0F-45A0-B345-5E6743647CAC__932071E.jpg,Elektrické zámky | Helios Analog | 2N Interkomy | Domovní telefony
Commax,CDV-43K2/DRC-40K,Ekonomická sada barevného videotelefonu CDV-43K2 a barevné dveřní stanice DRC-40K.,4420,5348,https://www.stasanet.cz/out/pictures/master/1/3C1944BC-F129-49EC-BC8C-6DFC82E18F2D__CDV-43K_DRC-40K.jpg,Sady videotelefonů - ekonomické | Videotelefony COMMAX - design | Domovní telefony
ACI Farfisa,PL21,"Modul s jedním tlačítkem, podsvětlení jmenovky LED diodami.",410,496,https://www.stasanet.cz/out/pictures/master/1/FD99E74E-D8AA-48D9-9B6E-DCF7FF0B3C57__PL21.jpg,Dveřní stanice Profilo | Analogový systém 4+n | Videotelefony Farfisa - modularita | Domovní telefony
Estelar,EDK4-M-RS,"Čtečka MIFARE, antivandal, ON-LINE na sběrnici G-link",5750,6958,https://www.stasanet.cz/out/pictures/master/1/9094C733-5AA7-46DE-B086-95E3E1BE1587__edk4m_1.jpg,Přístupové moduly bezkontaktní | Přístupové moduly a čtečky | ACS Docházkové systémy
Acorn,Skříňka 6210 MC/MM,"Ochranná kovová skříňka pro Acorn 6210 MC/MM, nejlepší možná ochrana proti odcizení nebo vandalizmu!",665,805,https://www.stasanet.cz/out/pictures/master/1/DE959691-F874-4108-B662-B508A39E502D__skrin_5210.jpg,Ochranné stříšky a zdroje | Fotopasti
ACI Farfisa,VD2121CAGL,"Dveřní stanice s kamerovým modulem a mikrofonem. Dveřní stanice může mít až dvě zvonková tlačítka, přičemž v balení je jedno zvonkové tlačítko a jedna záslepka.",5230,6328,https://www.stasanet.cz/out/pictures/master/1/F86DC0A6-53F8-4D19-9413-3BE6B489AA86__VD2121CAG.jpg,Dveřní stanice Agora Light | Digitální systém DUO | Videotelefony Farfisa - modularita | Domovní telefony
2N TELEKOMUNIKACE,91378800,Instalační krabice pro vnitřní odpovídací jednotky 2N® Indoor Talk,687,831,https://www.stasanet.cz/out/pictures/master/1/81D6349F-3FFF-4038-BDC2-EFB57B924D5F__91378800.jpg,Doplňky | Helios IP Verso | 2N Interkomy | Domovní telefony
Dahua,PFA121,"Box pro zapojení kabeláže kamer Dahua, kov, bílý, IP66, venkovní -40 až 60°C, 134 x 134 x 55 mm",544,658,https://www.stasanet.cz/out/pictures/master/1/2980A2F0-DD46-47C2-8E03-24626FF98A2B__PFA121.jpg,Příslušenství | IP technologie Dahua | IP kamerové systémy | Kamerové systémy
HikVision,DS-2CD2043G0-I/4,4MPix IP venkovní kamera; H265+;WDR+ICR+EXIR+obj.4mm,3427,4147,https://www.stasanet.cz/out/pictures/master/1/4EBD2894-72E1-48AC-9AAD-A1F6C76F14B0__DS-2CD20x5FWD-I.jpg,4 Mpx | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
HikVision,DS-2CD5A85G0-IZS/28,DS-2CD5A85G0-IZS(2.8-12mm),21689,26244,https://www.stasanet.cz/out/pictures/master/1/16A52E91-BFBE-4071-95C3-D3C9ED391ABD__DS-2CD5A.jpg,8 Mpx (4K) | Kamery 4-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
Dahua,PFA120,"Box pro zapojení kabeláže kamer Dahua, kov, bílá, venkovní -40 až 60°C, š 115 x v 160 x h 37 mm",389,471,https://www.stasanet.cz/out/pictures/master/1/13B4BC45-3F3C-464E-BCF9-DE05C35F38A5__PFA120.jpg,Příslušenství | IP technologie Dahua | IP kamerové systémy | Kamerové systémy
Estelar,AL40E-TCP,"Řídící jednotka pro 4 čtečky (EDK2, EDK3)
nebo 4x WIEGAND, komunikace ETHERNET, RS485",11200,13552,https://www.stasanet.cz/out/pictures/master/1/563D8684-A0DC-42DA-A094-A371FABAD732__AL-40.jpg,Řídící jednotky | Přístupové moduly a čtečky | ACS Docházkové systémy
2N TELEKOMUNIKACE,9151104CHW,"4 tlačítka, HD kamera, 10 W reproduktor",28451,34426,https://www.stasanet.cz/out/pictures/master/1/5D0C4A20-7896-448A-866F-F4F796ABF269__9151104CHW.jpg,IP Force s kamerou | Helios IP FORCE | 2N Interkomy | Domovní telefony
Smanos,MD2300,"Bezdrátový vnitřní PIR detektor pohybu, LED indikace, ochrana proti neoprávněnému zásahu, pokrytí 8 metrů / 110°, napájení dvěma bateriemi AA 1,5V, dosah vysílání do 80 m, frekvence 868 MHz, součástí balení: 1× PIR čidlo, 1× držák a 2× AA 1.5V LR6 baterie",550,666,https://www.stasanet.cz/out/pictures/master/1/D968F16E-DCE2-4DC0-A63C-BFF37318906C__MD2300.jpg,Systém EZS - akční sety | EZS Paradox a ostatní
JOB-Detecomat,SW I-Check,"diagnostika pro linky LOOP 3000, přehledné zobrazení stavů všech čidel, funce pro export do Word nebo Excel",219,265,https://www.stasanet.cz/out/pictures/master/1/B0CB5FBB-8D60-45D5-A168-D7D3067751BD__sw_i-check_1.jpg,SW a diagnostika | Adresovatelné systémy | EPS Požární ochrana
Western Digital,WDD064G1P0A,"Paměťová karta MicroSDXC 64GB WD Purple pro kamerové systémy, čtení 80MB/s, zápis 50MB/s, nepřetržitý záznam, vhodná pro venkovní kamery",845,1022,https://www.stasanet.cz/out/pictures/master/1/83AD6D89-9095-4D9D-9FC6-917D757D8C5F__WDD064G1P0A.jpg,Paměťové karty | Příslušenství | Kamerové systémy
AVTECH,Kryt AVN-320/420,Kryt na zeď pro IP kamery AVN-320 / AVN-420 s možností skrýt přívodní kabel,350,424,https://www.stasanet.cz/out/pictures/master/1/3BF9E5AF-E2E4-400D-B457-B6EDB7F67951__avn-320-420_kryt.jpg,Příslušenství | IP AVTECH | IP kamerové systémy | Kamerové systémy
ACI Farfisa,PL12PED,"Modul s reproduktorem a mikrofonem. Audio modul pro systém, kde jsou použita audio sluchátka.",1590,1924,https://www.stasanet.cz/out/pictures/master/1/7DF7F80F-F598-405E-BF68-F23A17C3A13B__PL12P.jpg,Dveřní stanice Profilo | Digitální systém DF6000 | Videotelefony Farfisa - modularita | Domovní telefony
HikVision,DS-2CD2T85FWD-I5/4,8MPix IP venkovní kamera; WDR+ICR+EXIR+obj.4mm,5796,7013,https://www.stasanet.cz/out/pictures/master/1/9C16EBC0-6805-40CC-8F05-C0323241875A__DS-2CD2T.jpg,8 Mpx (4K) | Kamery 2-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
JOB-Detecomat,CT 3000 PBDH ABS,manuální tlačítko neadresovatelného systému EPS pro spouštění sirén,1319,1596,https://www.stasanet.cz/out/pictures/master/1/9D71BF81-2EA4-49AD-B073-8AED923B45D3__ct_3000_pbdh_abs_1.jpg,Detektory | Konvenční prvky | EPS Požární ochrana
ASSA ABLOY,AA000684,"AA000684, 9400 VNEJSI SLEPY STIT NRZ",1490,1803,https://www.stasanet.cz/out/pictures/master/1/7F90B3BF-C93E-4970-8A05-9FB547B8DA66__9400_slepy-stit.jpg,Panikové hrazdy | Uzamykací systémy
JOB-Detecomat,SRC 3000,"ústředna EPS využívající bezdrátové komunikace s čidly; základní jednotka s předním obslužným panelem, frekvence 433 Mhz; umožňuje připojení 100 bezdrátových prvků serie HD",17599,21295,https://www.stasanet.cz/out/pictures/master/1/AFC8FCA7-F595-4A22-BB01-1CCF9713ADFF__src_3000_1.jpg,Ústředny | Bezdrátový systém | EPS Požární ochrana
HikVision,DS-2CE79U7T-IT3ZF,"8 Mpx DOME kamera TurboHD; 4v1; WDR+EXIR; IP67; motor.obj. 2,7-13,5mm",4577,5538,https://www.stasanet.cz/out/pictures/master/1/DC292C2A-F13A-45D5-81E2-E0DD9BD86D01__DS-2CE56H5T-IT3Z.jpg,Kamery 4 v 1 | 8 Mpx kamery Low lux | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
Angelcam,Leták Angelcam-návod,"Informační leták s návodem pro připojení kamery do angelcamu, výběr správné aplikace pro kameru,  tipy pro připojení, často kladené dotazy, formát 8×12cm",1,1,https://www.stasanet.cz/out/pictures/master/1/CEE34325-783D-46C5-9524-92FB37D5C1A0__letak_angelcam-navod.jpg,Letáky a katalogy | Marketing
,4FN 230 87.1,Modul 7 tlač. TT KARAT 4+n (se zámkem),1050,1271,https://www.stasanet.cz/out/pictures/master/1/58B0C826-64CB-487D-9DF9-D15539CB7755__4FN-230-87.1.jpg,Moduly | Dveřní stanice KARAT-ANTIKA  barva měděná | Analogový audiosystém (4+n) | Tesla Stropkov | Domovní telefony
RX Corp.,RX-RJ45D,"Konektor RJ45 pro datový kabel UTP typ lanko, osazen 8 kontakty, CAT 5e.",2,2,https://www.stasanet.cz/out/pictures/master/1/6446CCE6-34B3-4A76-8495-508CC96E1B87__RX-RJ45C.jpg,Konektory | Metalická kabeláž | SKS Strukturovaná kabeláž
Commax,S-8P,Stříška proti dešti a sněhu pro dveřní jednotku Commax DRC-41UN,550,666,https://www.stasanet.cz/out/pictures/master/1/2130B5C9-D326-46D2-9C43-7427EB32F53C__S-8P.jpg,Stříšky | Ochranné stříšky a krabičky | Videotelefony COMMAX - design | Domovní telefony
Sentek,SD119-4AR-12,"Opticko-kouřový doplňkový pro EZS, det.plocha max.40m2/max.výška 7m, prac.tepl. 0 až 70°C, nap:10,5–14V=.",859,1039,https://www.stasanet.cz/out/pictures/master/1/C99A1EA2-7D8D-4933-8E5E-8550AD3B5133__SD119-4AR-12.jpg,"Systémové pro EZS | Detektory požární, cigaret a plynů | Vnitřní detekce | EZS Paradox a ostatní"
HikVision,DS-2DF8836IV-AELW,"IP PTZ kamera 4K 8MP; 36x ZOOM; Hi-PoE; ICR+3D-DNR+IR do 200m, Stěrač",97760,118290,https://www.stasanet.cz/out/pictures/master/1/F178351B-22B9-4BF9-B1CD-DFF922A708E2__DS-2DF8x36I-AELW.jpg,8 Mpx (4K) | PTZ kamery | IP Hikvision | IP kamerové systémy | Kamerové systémy
2N TELEKOMUNIKACE,9135332E,"2N Helios, stříška pro 2 moduly",1746,2113,https://www.stasanet.cz/out/pictures/master/1/7426C302-8578-4624-A795-46D909C3FD5E__2n-helios_striska-pro-2-moduly.jpg,Montážní prvky | Helios Analog | 2N Interkomy | Domovní telefony
JABLOTRON ALARMS a.s.,TP-82N,Termostat slouží k nastavení a měření teploty. Teplota se nastavuje otočným kolečkem. Proti nežádoucí manipulaci lze ovládání zamknout. Kromě udržování nastavené teploty umí termostat chránit proti mrazu.,840,1016,https://www.stasanet.cz/out/pictures/master/1/B56FABE6-CF65-49D9-9641-C79A638D6174__TP-82.jpg,Detektory | Drátové prvky příslušenství | EZS Alarmy Jablotron
HikVision,DS-2CD4665F-IZHS,6MPix s ICR; D-WDR; PoE,22885,27691,https://www.stasanet.cz/out/pictures/master/1/70C3180E-D472-4F27-8B2F-7676EBB65DDC__DS-2CD46.jpg,6 Mpx | Kamery 4-Line | IP Hikvision | IP kamerové systémy | Kamerové systémy
,Box KZ,"Univerzální plechový box pro zapuštění do zdi, určený pro klávesnice LED/LCD ústředen.",765,926,https://www.stasanet.cz/out/pictures/master/1/52CE9A91-8220-41B1-8350-951C987216FC__Box-KZ.jpg,Boxy | Doplňky pro EZS | EZS Paradox a ostatní
Sorhea,BIRIS II 50,"2 duální buňky, dosah exteriér 50 / interiér 125 m, s volbou kanálů, s vyhříváním, 3 režimy detekce, napájení 10,5-15 VDC.",10500,12705,https://www.stasanet.cz/out/pictures/master/1/7DBB3D6E-815C-4225-AEE6-1F70677A6ABC__BIRIS-II.jpg,Infrabariéry | Venkovní detekce | EZS Paradox a ostatní
HikVision,DS-1322HZ-H,"Vyhřívaný kryt pro boxové kamery, topné těleso, ventilátor, sluneční clona, hliníková slitina, bílá barva, AC 24V, 55W, IP66",3089,3738,https://www.stasanet.cz/out/pictures/master/1/43CE59E2-CBED-493E-A32B-D0CD722625B8__DS-1322HZ-H.jpg,Venkovní kryty | Příslušenství | IP Hikvision | IP kamerové systémy | Kamerové systémy
VAR-TEC,VL-10-100m,"VL stíněný kabel typu „lanko“, 10 žil, průřez lanka 0,22 mm2, pro slaboproudé rozvody EZS v balení po 100m délky.",1355,1640,https://www.stasanet.cz/out/pictures/master/1/3AECB3FA-EF44-4353-A810-19DDD54A795B__VL-10-100m.jpg,typ lanko | Kabely | EZS Paradox a ostatní
HikVision,DS-2CE16D8T-IT3/28-G,"2MPix venkovní kamera TurboHD; ICR + EXIR + obj. 2,8mm; šedá",1288,1558,https://www.stasanet.cz/out/pictures/master/1/0B3D3647-9719-461C-96A7-AA640D8F9DAE__DS-2CE16FxT-ITx-G.jpg,Kompaktní kamery | 2 Mpx kamery Low lux | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
2N TELEKOMUNIKACE,91378360,"Inteligentní multimediální IP telefon Yealink SIP-T58A s jednoduchým ovládáním určený obchodním profesionálům, HD audio a video volání",9629,11651,https://www.stasanet.cz/out/pictures/master/1/4BACC5CF-467C-49AD-AEEB-70F4B9DCCCF1__91378360.jpg,Doplňky | Helios IP Vario | 2N Interkomy | Domovní telefony
HikVision,DS-2CE56D0T-IRMMF/28,"2 Mpx vnitřní dome AHD/TVI/CVI/CVBS kamera, rozlišení 1920×1080@30fps, objektiv f2.8mm, IR 20m, ICR, 0.01 lux, 12VDC",667,807,https://www.stasanet.cz/out/pictures/master/1/DA3B82C5-0375-481C-98C6-CF465F282E0C__DS-2CE56C0T-IRMMF.jpg,Dome kamery | 2 Mpx kamery | HD TVI Hikvision (Turbo HD) | HD Analogové systémy | Kamerové systémy
JABLOTRON ALARMS a.s.,SA-530,"Magnetodynamická siréna, oblé tvary pro snadnou montáž do motorovéhoo prostoru, rozměry 56x74x74 mm, akustický výkon 117 dB, odběr 1,2 A",193,234,https://www.stasanet.cz/out/pictures/master/1/73E800D7-0C7F-4BC3-AA4A-B6BD8FA106BD__SA-530.jpg,Sirény | Drátové prvky příslušenství | EZS Alarmy Jablotron
